Scenarios Input,Testcases
,Time Management: Allocating time slots for deliveries based on urgency and customer preferences
,
,Expected Handling: Delivery schedules optimized to prioritize urgent deliveries and accommodate customer preferences.
,Fuel Management: Allocating fuel resources efficiently to minimize costs and environmental impact
,
,Expected Handling: Fuel consumption optimized through route planning and vehicle maintenance to reduce expenses and emissions.
,Maintenance Scheduling: Allocating resources for vehicle maintenance and repairs
,
,"Expected Handling: Vehicles scheduled for maintenance based on mileage, usage patterns, and maintenance schedules to ensure fleet reliability."
,Technology Allocation: Allocating resources for technological infrastructure and upgrades
,
,"Expected Handling: Investments made in technology to improve route optimization, tracking, and customer service capabilities."
,Emergency Resource Allocation: Allocating resources for handling unforeseen events such as vehicle breakdowns or weather emergencies
,
,Expected Handling: Contingency plans in place to allocate resources swiftly and effectively in response to emergencies.
,Labor Allocation: Allocating workforce resources for peak demand periods or special projects
,
,Expected Handling: Staffing levels adjusted to meet fluctuating delivery demands and ensure timely completion of projects.
,
,
Delivery Time Slot Confirmation,Delivery Time Slot Confirmation
,
,Customer Request for Morning Delivery: Customer selects a delivery time slot between 9:00 AM to 11:00 AM.
,
,Expected Handling: Confirmation of delivery time slot within the requested morning window.
,Customer Request for Afternoon Delivery: Customer selects a delivery time slot between 2:00 PM to 5:00 PM.
,
,Expected Handling: Confirmation of delivery time slot within the requested afternoon window.
,Customer Request for Evening Delivery: Customer selects a delivery time slot between 6:00 PM to 8:00 PM.
,
,Expected Handling: Confirmation of delivery time slot within the requested evening window.
,Customer Request for Specific Time: Customer requests delivery at 3:30 PM due to availability.
,
,Expected Handling: Confirmation of delivery at the specific requested time slot.
,Customer Request for Flexible Delivery: Customer selects a flexible delivery option with a range of time slots.
,
,Expected Handling: Confirmation of delivery within the flexible time frame chosen by the customer.
,Multiple Deliveries with Overlapping Time Slots: Several customers request delivery within the same time slot.
,
,Expected Handling: Efficient scheduling and confirmation of deliveries within overlapping time slots.
,Capacity Limitation: Delivery slots filling up quickly due to high demand.
,
,Expected Handling: Notification to customers regarding limited availability and confirmation of available delivery time slots.
,Real-Time Updates: Delivery time slot availability changes due to cancellations or rescheduling.
,
,Expected Handling: Immediate notification to affected customers and confirmation of revised delivery time slots.
,Customizable Time Slot Selection: Customer selects preferred delivery time slot from a range of options.
,
,Expected Handling: Confirmation of customer's selected delivery time slot according to availability.
,Special Occasion Delivery: Customer requests delivery on a specific date and time for a special event.
,
,Expected Handling: Confirmation of delivery time slot aligned with the customer's requested date and time for the event.
,
Alternative Route Planning,12: Alternative Route Planning
,
,Road Closure on Planned Route: Planned route encounters road closure due to maintenance.
,
,Expected Handling: Automatic rerouting to an alternative route to bypass the road closure.
,Traffic Jam on Planned Route: Planned route experiences heavy traffic congestion.
,
,Expected Handling: Automatic rerouting to an alternative route with lighter traffic flow.
,Construction Work on Planned Route: Planned route affected by ongoing construction work.
,
,Expected Handling: Automatic rerouting to an alternative route to avoid construction zones.
,Accident on Planned Route: Planned route blocked due to a traffic accident.
,
,Expected Handling: Automatic rerouting to an alternative route to circumvent the accident site.
,Weather-Related Obstacle on Planned Route: Planned route obstructed by weather-related conditions like flooding or fallen trees.
,
,Expected Handling: Automatic rerouting to an alternative route unaffected by weather obstacles.
,Emergency Vehicle Passage: Planned route required to make way for emergency vehicles.
,
,Expected Handling: Automatic rerouting to an alternative route to allow passage for emergency vehicles.
,Narrow or Inaccessible Roads: Planned route includes roads unsuitable for delivery vehicles.
,
,Expected Handling: Automatic rerouting to alternative roads suitable for delivery vehicles.
,Low Clearance Obstacle: Planned route includes an underpass with insufficient clearance for delivery vehicle height.
,
,Expected Handling: Automatic rerouting to an alternative route avoiding low clearance obstacles.
,Bridge Closure: Planned route affected by closure of a bridge.
,
,Expected Handling: Automatic rerouting to an alternative route detouring around the closed bridge.
,Time-Efficient Route: Alternative route identified to reduce overall delivery time.
,
,Expected Handling: Automatic rerouting to the most time-efficient alternative route available.
,
Vehicle Breakdown Handling,13: Vehicle Breakdown Handling
,
,Mechanical Failure During Delivery: Delivery vehicle breaks down en route to the destination.
,
,Expected Handling: Immediate dispatch of a replacement vehicle or roadside assistance to ensure timely delivery.
,Tire Puncture: Delivery vehicle suffers a tire puncture during delivery.
,
,Expected Handling: Swift repair or replacement of the damaged tire to resume delivery operations.
,Engine Overheating: Delivery vehicle's engine overheats due to prolonged operation.
,
,Expected Handling: Vehicle cooling and maintenance measures implemented to address the issue and resume delivery.
,"Battery Failure: Delivery vehicle experiences a battery failure, resulting in an inability to start."
,
,Expected Handling: Jump-start or replacement of the battery to restore vehicle functionality and resume delivery.
,Fuel Exhaustion: Delivery vehicle runs out of fuel during delivery.
,
,Expected Handling: Emergency refueling or dispatch of a fuel truck to replenish the vehicle's fuel supply.
,Transmission Malfunction: Delivery vehicle encounters transmission issues impeding its operation.
,
,Expected Handling: Immediate assessment and repair of the transmission to resume delivery.
,Electronic System Failure: Delivery vehicle experiences electrical system failure affecting its operation.
,
,Expected Handling: Diagnosis and repair of the electrical system to restore vehicle functionality and resume delivery.
,Brake Failure: Delivery vehicle's brakes malfunction during operation.
,
,Expected Handling: Emergency repair or replacement of the brakes to ensure safe operation and resume delivery.
,Steering System Malfunction: Delivery vehicle experiences steering system issues affecting its maneuverability.
,
,Expected Handling: Prompt repair or replacement of the steering system to ensure safe operation and resume delivery.
,Suspension System Damage: Delivery vehicle's suspension system sustains damage impacting its stability.
,
,Expected Handling: Repair or replacement of the suspension system components to restore vehicle stability and resume delivery.
,
High Traffic Period Handling,14: High Traffic Period Handling
,
,Rush Hour Traffic: Delivery scheduled during morning or evening rush hours.
,
,Expected Handling: Route optimization to navigate through heavy traffic and minimize delivery time.
,Commuter Traffic: Delivery coincides with peak commuter traffic periods.
,
,Expected Handling: Route planning to avoid major commuter routes and utilize less congested roads.
,School Pickup Traffic: Delivery scheduled during school pickup times causing increased traffic congestion.
,
,Expected Handling: Route adjustment to avoid school zones and minimize delays due to pickup traffic.
,Event Traffic: Delivery during a major event causing traffic congestion in the area.
,
,Expected Handling: Route optimization to bypass event venues and avoid traffic associated with the event.
,Holiday Traffic: Delivery during peak holiday shopping periods.
,
,Expected Handling: Route planning to avoid shopping districts and congested areas during peak holiday traffic.
,Tourist Traffic: Delivery in tourist-heavy areas during peak tourist seasons.
,
,Expected Handling: Route optimization to navigate around tourist attractions and minimize delays due to tourist traffic.
,Sporting Event Traffic: Delivery coinciding with sporting events causing increased traffic flow.
,
,Expected Handling: Route adjustment to avoid stadiums and event venues affected by sporting events.
,Concert Traffic: Delivery during concerts or music festivals causing traffic congestion.
,
,Expected Handling: Route planning to bypass concert venues and high-traffic areas affected by the event.
,Parade Traffic: Delivery scheduled during parades or street festivals.
,
,Expected Handling: Route optimization to avoid parade routes and streets closed for festivities.
,Construction Traffic: Delivery during road construction or maintenance work causing lane closures.
,
,Expected Handling: Route adjustment to navigate around construction zones and minimize delays due to traffic diversions.
,
Peak Demand Handling,15: Peak Demand Handling
,
,Holiday Season Demand: Surge in delivery requests during the holiday season.
,
,Expected Handling: Increased staffing and fleet deployment to accommodate high delivery demand.
,Sales Event Demand: Surge in delivery requests during promotional sales events.
,
,Expected Handling: Temporary increase in delivery capacity to meet heightened demand during sales events.
,Special Occasion Demand: Surge in delivery requests for special occasions like birthdays or anniversaries.
,
,Expected Handling: Priority handling of special occasion deliveries to ensure timely arrival.
,Weather-Related Demand: Surge in delivery requests during inclement weather conditions.
,
,Expected Handling: Enhanced logistics planning to meet increased demand during adverse weather conditions.
,Seasonal Demand: Surge in delivery requests during specific seasons such as summer or back-to-school season.
,
,Expected Handling: Adaptive resource allocation to accommodate seasonal fluctuations in delivery demand.
,Product Launch Demand: Surge in delivery requests following the launch of a highly anticipated product.
,
,Expected Handling: Prioritization of product launch deliveries to capitalize on market demand and meet customer expectations.
,Local Event Demand: Surge in delivery requests during local events like festivals or community gatherings.
,
,Expected Handling: Specialized event logistics planning to handle increased demand and ensure timely delivery.
,New Market Demand: Surge in delivery requests upon entering a new market or expanding service coverage.
,
,Expected Handling: Strategic resource allocation and infrastructure investment to support growth and meet new market demand.
,Advertising Campaign Demand: Surge in delivery requests following a successful advertising campaign.
,
,Expected Handling: Scalable delivery infrastructure to capitalize on increased demand generated by advertising efforts.
,External Factors Impacting Demand: Surge in delivery requests due to external factors like competitor actions or industry trends.
,
,"Expected Handling: Agile response to external factors, including capacity adjustments and promotional incentives, to address increased demand."
,
Variable Delivery Windows,16: Variable Delivery Windows
,
,Flexible Delivery Timing: Customer requests delivery within a flexible time window.
,
,Expected Handling: Confirmation of delivery within the customer's specified flexible time frame.
,Morning or Afternoon Delivery Preference: Customer selects preferred delivery window of morning or afternoon.
,
,Expected Handling: Confirmation of delivery within the customer's chosen morning or afternoon time slot.
,Specific Time Request: Customer specifies a specific delivery time window based on personal availability.
,
,Expected Handling: Confirmation of delivery within the customer's requested specific time frame.
,Weekend Delivery Preference: Customer requests delivery on a weekend due to availability.
,
,Expected Handling: Confirmation of delivery scheduled for the requested weekend time slot.
,Evening Delivery Request: Customer selects a delivery window during the evening hours.
,
,Expected Handling: Confirmation of delivery within the customer's chosen evening time slot.
,Same-Day Delivery Window: Customer requests delivery within the same day of order placement.
,
,Expected Handling: Confirmation of delivery scheduled for the same day within the customer's specified time window.
,Next-Day Delivery Window: Customer selects a delivery window for the following day after order placement.
,
,Expected Handling: Confirmation of delivery scheduled for the next day within the customer's chosen time slot.
,Weekend or Weekday Preference: Customer specifies preference for weekend or weekday delivery.
,
,Expected Handling: Confirmation of delivery scheduled based on the customer's chosen weekend or weekday time frame.
,Early Morning Delivery Request: Customer requests delivery during the early morning hours.
,
,Expected Handling: Confirmation of delivery within the customer's chosen early morning time slot.
,Holiday Delivery Window: Customer selects a delivery window on a specific holiday.
,
,Expected Handling: Confirmation of delivery scheduled for the requested holiday time slot.
,
Unexpected Order Cancellation,Unexpected Order Cancellation
,
,Customer Request for Order Cancellation: Customer cancels the order before dispatch.
,
,"Expected Handling: Order cancellation processed, and delivery operation halted."
,Inventory Shortage: Order cancellation due to insufficient inventory.
,
,"Expected Handling: Order cancellation processed, and affected customers notified of the shortage."
,Payment Failure: Order cancellation due to payment processing issues.
,
,"Expected Handling: Order cancellation processed, and customer contacted for payment resolution."
,Delivery Unfeasibility: Order cancellation due to unforeseen delivery constraints.
,
,"Expected Handling: Order cancellation processed, and alternative delivery options explored if feasible."
,Customer Change of Plans: Order cancellation due to customer change of plans or circumstances.
,
,"Expected Handling: Order cancellation processed, and customer offered flexibility for rescheduling or alternative arrangements."
,Product Unavailability: Order cancellation due to product unavailability or discontinuation.
,
,"Expected Handling: Order cancellation processed, and customer notified of product unavailability with possible alternatives offered."
,External Factors Impacting Delivery: Order cancellation due to external factors like natural disasters or transportation disruptions.
,
,"Expected Handling: Order cancellation processed, and affected customers provided with timely updates and support."
,Fraudulent Activity: Order cancellation due to suspected fraudulent activity or security concerns.
,
,"Expected Handling: Order cancellation processed, and security measures implemented to prevent further fraudulent transactions."
,Regulatory Compliance Issues: Order cancellation due to non-compliance with regulatory requirements.
,
,"Expected Handling: Order cancellation processed, and compliance issues addressed to prevent future occurrences."
,Technical Glitch: Order cancellation due to technical glitches or system errors.
,
,
  Scenario: User searches for a specific medicine ,Valid Search:
,
,"Input: User enters ""Aspirin"" in the search bar."
,"Expected Output: User sees a list of relevant medicines containing Aspirin with their respective names, dosages, and prices."
,No Results Found:
,
,Input: User enters a non-existent medicine name.
,Expected Output: User receives a message indicating no results were found for the given search term.
,Search with Special Characters:
,
,"Input: User enters ""Aspirin 500mg"" in the search bar."
,Expected Output: User sees a list of relevant medicines containing Aspirin with specified dosage and prices.
,Multiple Matches:
,
,"Input: User enters ""Aspirin"" which matches multiple products."
,"Expected Output: User sees a list of all medicines containing Aspirin with their respective names, dosages, and prices."
,Case Insensitivity:
,
,"Input: User enters ""aspirin"" in lowercase."
,"Expected Output: User sees a list of relevant medicines containing Aspirin with their respective names, dosages, and prices regardless of case sensitivity."
,
  Scenario: User searches for medicines with a specific condition ,Valid Condition Search:
,
,"Input: User enters ""Cold"" in the search bar."
,"Expected Output: User sees a list of medicines related to the specified condition with their names, dosages, and prices."
,Broad Condition Search:
,
,"Input: User enters a general term like ""Allergy"" in the search bar."
,"Expected Output: User sees a list of medicines related to allergies with their names, dosages, and prices."
,Condition with No Matching Medicines:
,
,Input: User enters a specific condition with no related medicines available.
,Expected Output: User receives a message indicating no medicines are available for the given condition.
,Partial Match:
,
,"Input: User enters ""Flu"" which has medications for cold and flu."
,"Expected Output: User sees a list of medicines related to cold and flu with their names, dosages, and prices."
,Condition with Multiple Categories:
,
,"Input: User enters ""Pain"" which could include headache, muscle pain, etc."
,"Expected Output: User sees a list of medicines related to different types of pain with their names, dosages, and prices."
,
  Scenario: User searches for over-the-counter (OTC) products ,Filter Applied Successfully:
,
,Input: User applies the filter for over-the-counter products.
,"Expected Output: User sees a list of OTC medicines with their names, dosages, and prices."
,Mixed Results with OTC Filter:
,
,"Input: User applies the OTC filter, and there are both OTC and prescription medicines."
,"Expected Output: User sees only OTC medicines in the search results with their names, dosages, and prices."
,No OTC Products Available:
,
,"Input: User applies the OTC filter, but there are no OTC products listed."
,Expected Output: User receives a message indicating no over-the-counter medicines are available.
,Filter Reset:
,
,Input: User applies the OTC filter and then resets all filters.
,"Expected Output: User sees all medicines, both OTC and prescription, with their names, dosages, and prices."
,Filter Application with Pagination:
,
,Input: User applies the OTC filter and the search results span multiple pages.
,"Expected Output: User sees a list of OTC medicines across all pages with their names, dosages, and prices."
,
  Scenario: User searches for prescription-only medicines ,Filter Applied Successfully:
,
,Input: User applies the filter for prescription-only medicines.
,"Expected Output: User sees a list of prescription-only medicines with their names, dosages, and prices."
,Mixed Results with Prescription Filter:
,
,"Input: User applies the prescription-only filter, and there are both OTC and prescription medicines."
,"Expected Output: User sees only prescription medicines in the search results with their names, dosages, and prices."
,No Prescription Products Available:
,
,"Input: User applies the prescription-only filter, but there are no prescription products listed."
,Expected Output: User receives a message indicating no prescription-only medicines are available.
,Filter Reset:
,
,Input: User applies the prescription-only filter and then resets all filters.
,"Expected Output: User sees all medicines, both OTC and prescription, with their names, dosages, and prices."
,Filter Application with Pagination:
,
,Input: User applies the prescription-only filter and the search results span multiple pages.
,"Expected Output: User sees a list of prescription-only medicines across all pages with their names, dosages, and prices."
,
  Scenario: User clicks on a medicine from the search results ,Test Cases for User Clicks on a Medicine from the Search Results
,
,Valid Selection:
,
,"Input: User searches for ""Paracetamol"" and clicks on a specific Paracetamol product."
,"Expected Output: User is directed to the medicine details page showing detailed information, including usage instructions and precautions."
,No Selection Made:
,
,Input: User searches for a medicine but doesn't click on any specific product.
,Expected Output: User remains on the search results page without any change.
,Error Handling:
,
,Input: User clicks on a medicine that is no longer available or has been removed.
,Expected Output: User receives an error message indicating the selected medicine is not available.
,Back Navigation:
,
,"Input: User clicks on a medicine, views its details, and then navigates back to the search results."
,Expected Output: User returns to the search results page with the previously viewed medicine still listed.
,Navigation from Different Pages:
,
,Input: User clicks on a medicine from the search results page that spans multiple pages.
,Expected Output: User is directed to the medicine details page from whichever page the medicine was clicked.
,
Senario: User Searches for Medicines Based on Symptoms,Test Cases for User Searches for Medicines Based on Symptoms
,
,Valid Symptom Search:
,
,"Input: User enters ""Headache"" in the symptom search bar."
,"Expected Output: User sees a list of medicines recommended for headache relief with their names, dosages, and prices."
,Broad Symptom Search:
,
,"Input: User enters ""Pain"" in the symptom search bar."
,"Expected Output: User sees a list of medicines recommended for different types of pain relief with their names, dosages, and prices."
,No Matching Symptoms:
,
,"Input: User enters a symptom that has no directly related medicines, like ""Fatigue."""
,Expected Output: User receives a message indicating no medicines are available for the given symptom.
,Partial Symptom Match:
,
,"Input: User enters ""Migraine"" which could also include headache medications."
,"Expected Output: User sees a list of medicines recommended for migraine and headache relief with their names, dosages, and prices."
,Symptom Search with Filters:
,
,"Input: User enters ""Sore Throat"" and applies additional filters like OTC or prescription-only."
,"Expected Output: User sees a refined list of medicines recommended for sore throat relief based on the applied filters, with their names, dosages, and prices."
,
User Adds a New Address,Test Cases for User Adds a New Address
,
,Valid Address Addition:
,
,"Input: User clicks on ""Add Address"" button and fills in all required address details."
,Expected Output: User receives a confirmation message and the new address is successfully added to the address book.
,Duplicate Address Addition:
,
,Input: User attempts to add an address that already exists in the address book.
,Expected Output: User receives an error message indicating that the address already exists and cannot be added again.
,Invalid Address Format:
,
,Input: User adds an address with invalid format or characters in one of the fields.
,Expected Output: User receives an error message indicating that the address format is invalid and needs to be corrected.
,Empty Address Fields:
,
,Input: User attempts to add an address with one or more required fields left empty.
,Expected Output: User receives an error message indicating that certain fields are required and must be filled.
,Cancel Addition:
,
,"Input: User starts filling out the address details but decides to cancel by navigating away from the page or clicking a ""Cancel"" button."
,"Expected Output: No changes are made to the address book, and the user remains on the address management page."
,
User Attempts to Add an Address with Missing Information,Test Cases for User Attempts to Add an Address with Missing Information
,
,Missing Information:
,
,"Input: User clicks on ""Add Address"" button but leaves one or more required fields empty."
,Expected Output: User receives an error message indicating which fields are missing and needs to be filled.
,Partial Address Information:
,
,Input: User fills in only a few of the required address fields and attempts to save.
,Expected Output: User receives an error message indicating that all required fields must be filled before saving the address.
,Invalid Input in Address Fields:
,
,Input: User enters invalid characters or format in one or more address fields.
,Expected Output: User receives an error message indicating that the entered information is invalid and needs correction.
,Empty Address Field:
,
,Input: User attempts to add an address with one of the required fields left empty.
,Expected Output: User receives an error message indicating which field(s) are required and must be filled.
,Cancel Address Addition:
,
,"Input: User starts filling out the address details but decides to cancel by clicking a ""Cancel"" button before saving."
,"Expected Output: No changes are made to the address book, and the user remains on the address management page."
,
 User Selects a Previously Added Address,Test Cases for User Selects a Previously Added Address
,
,Select Existing Address:
,
,Input: User has at least one existing address in their address book and selects one of them.
,"Expected Output: The selected address is highlighted, and the user sees options to edit or delete the address."
,No Existing Address:
,
,Input: User attempts to select an address from an empty address book.
,Expected Output: User sees a message indicating that there are no addresses available to select.
,Edit or Delete Options:
,
,Input: User selects an existing address from the address book.
,Expected Output: User sees options to edit or delete the selected address.
,Multiple Addresses Selection:
,
,Input: User has multiple addresses in the address book and selects more than one.
,"Expected Output: Only one address can be selected at a time, so only the last selected address should remain highlighted."
,No Address Selection:
,
,Input: User navigates to the address management page without selecting any address.
,Expected Output: User does not see any address highlighted and no edit or delete options are displayed.
,
User Edits an Existing Address,Test Cases for User Edits an Existing Address
,
,Valid Address Edit:
,
,"Input: User selects an existing address from the address book, modifies the details, and saves."
,"Expected Output: User receives a confirmation message, and the edited address details are updated in the address book."
,Cancel Edit:
,
,"Input: User starts editing an address but decides to cancel by clicking a ""Cancel"" button."
,"Expected Output: No changes are made to the address book, and the user remains on the address management page."
,Edit Address with Invalid Information:
,
,Input: User modifies an address with invalid characters or format in one or more fields.
,Expected Output: User receives an error message indicating that the edited information is invalid and needs correction.
,Edit Address with Missing Information:
,
,Input: User modifies an address but leaves one or more required fields empty.
,Expected Output: User receives an error message indicating which fields are required and must be filled.
,Edit Nonexistent Address:
,
,Input: User attempts to edit an address that does not exist in the address book.
,Expected Output: User receives an error message indicating that the selected address cannot be found for editing.
,
User Deletes an Existing Address,Test Cases for User Deletes an Existing Address
,
,Valid Address Deletion:
,
,Input: User selects an existing address from the address book and confirms deletion.
,"Expected Output: User receives a confirmation prompt and upon confirmation, the selected address is removed from the address book."
,Cancel Deletion:
,
,"Input: User selects an address for deletion but decides to cancel by closing the confirmation prompt or clicking a ""Cancel"" button."
,"Expected Output: No changes are made to the address book, and the selected address remains intact."
,Delete Nonexistent Address:
,
,Input: User attempts to delete an address that does not exist in the address book.
,Expected Output: User receives an error message indicating that the selected address cannot be found for deletion.
,Delete Address without Selection:
,
,Input: User navigates to the delete address functionality without selecting any address.
,Expected Output: User receives an error message indicating that no address has been selected for deletion.
,Multiple Addresses Deletion:
,
,Input: User selects multiple addresses for deletion at once.
,"Expected Output: User can only delete one address at a time, so only the last selected address should be deleted upon confirmation."
,
 User Completes a Successful Payment,Test Cases for User Completes a Successful Payment
,
,Successful Payment with Valid Details:
,
,"Input: User selects payment method, enters valid payment details, and clicks ""Pay Now"" button."
,"Expected Output: User receives a payment success confirmation, and the order status is updated to ""Paid."""
,Payment Confirmation without Items in Cart:
,
,Input: User is on the checkout page without any items in the shopping cart and completes the payment process.
,"Expected Output: User receives an error message indicating that the cart is empty, and payment cannot be processed."
,Multiple Items in Cart:
,
,Input: User has multiple items in the shopping cart and completes the payment process.
,"Expected Output: All items are successfully paid for, and the order status for each item is updated to ""Paid."""
,Payment Timeout Handling:
,
,"Input: User takes too long to complete the payment process, and the session times out."
,Expected Output: User is redirected to the checkout page with a message indicating that the payment session has expired.
,Partial Payment:
,
,Input: User attempts to pay for only a subset of items in the cart.
,Expected Output: User receives an error message indicating that all items in the cart must be paid for together.
,
 User Attempts Payment with Invalid Card Details,Test Cases for User Attempts Payment with Invalid Card Details
,
,Invalid Card Number:
,
,Input: User enters an invalid card number and attempts payment.
,Expected Output: User receives an error message indicating that the card number is invalid and needs correction.
,Expired Card:
,
,Input: User enters the details of an expired card and attempts payment.
,Expected Output: User receives an error message indicating that the card has expired and needs to use a valid card.
,Incorrect CVV:
,
,Input: User enters an incorrect CVV number and attempts payment.
,Expected Output: User receives an error message indicating that the CVV is incorrect and needs correction.
,Insufficient Funds:
,
,Input: User attempts payment with a card that has insufficient funds.
,Expected Output: User receives an error message indicating that the payment could not be processed due to insufficient funds.
,Payment Declined:
,
,Input: User attempts payment with a card that is declined by the issuing bank.
,Expected Output: User receives an error message indicating that the payment was declined and should try another payment method.
,
User Cancels the Payment Process,Test Cases for User Cancels the Payment Process
,
,Cancellation Confirmation:
,
,Input: User decides to cancel the payment process after selecting the payment method.
,"Expected Output: User is redirected back to the shopping cart, and the order status remains unchanged."
,Cancellation at Payment Details Entry:
,
,"Input: User starts entering payment details but decides to cancel before clicking ""Pay Now."""
,"Expected Output: User is redirected back to the shopping cart, and the order status remains unchanged."
,Cancellation at Payment Method Selection:
,
,Input: User decides to cancel the payment process after selecting the payment method.
,"Expected Output: User is redirected back to the shopping cart, and the order status remains unchanged."
,Cancellation after Payment Initiation:
,
,"Input: User clicks ""Pay Now"" but decides to cancel before the payment is processed."
,"Expected Output: User is redirected back to the shopping cart, and the order status remains unchanged."
,Cancellation Confirmation Prompt:
,
,Input: User attempts to cancel the payment process and receives a confirmation prompt.
,"Expected Output: Upon confirmation, the user is redirected back to the shopping cart, and the order status remains unchanged."
,
 User Selects a Different Payment Method,Test Cases for User Selects a Different Payment Method
,
,Successful Payment with Alternative Method:
,
,"Input: User selects an alternative payment method, enters valid payment details, and completes the payment."
,"Expected Output: User receives a payment success confirmation, and the order status is updated to ""Paid"" with the new payment method."
,Switching Payment Methods before Payment:
,
,Input: User starts with one payment method but switches to an alternative method before completing the payment.
,"Expected Output: User successfully switches payment methods, enters valid details, and completes the payment."
,Payment Method Switching with Timeout:
,
,"Input: User takes too long to switch payment methods, and the session times out."
,Expected Output: User is redirected back to the checkout page with a message indicating that the session has expired.
,Payment Method Switching Error:
,
,Input: User encounters an error while attempting to switch payment methods.
,Expected Output: User receives an error message indicating the reason for the failure to switch payment methods.
,Invalid Payment Details with Alternative Method:
,
,Input: User switches to an alternative payment method but enters invalid payment details.
,Expected Output: User receives an error message indicating that the entered payment details are invalid and need correction.
,
 User Checks Payment History,Test Cases for User Checks Payment History
,
,Viewing Past Transactions:
,
,Input: User navigates to the payment history section.
,"Expected Output: User sees a list of past transactions with details such as date, amount, and payment method."
,Empty Payment History:
,
,Input: User has not completed any previous orders and navigates to the payment history section.
,Expected Output: User sees a message indicating that there are no past transactions to display.
,Multiple Transactions Display:
,
,"Input: User has completed multiple orders, and all transactions are displayed in the payment history section."
,"Expected Output: Each transaction is listed with details such as date, amount, and payment method."
,Sorting Transactions:
,
,"Input: User sorts past transactions by date, amount, or payment method."
,Expected Output: Transactions are rearranged based on the selected sorting criteria.
,Transaction Details View:
,
,Input: User clicks on a specific transaction to view its details.
,"Expected Output: User sees detailed information about the selected transaction, including items purchased, order status, and payment details."
,
 User Checks Delivery Status with Valid Order ID,Test Cases for User Checks Delivery Status with Valid Order ID
,
,Valid Order ID Entered:
,
,Input: User navigates to the delivery tracking page and enters a valid order ID.
,"Expected Output: User sees the current delivery status along with details such as estimated delivery date, courier information, and tracking updates."
,Multiple Tracking Updates:
,
,Input: User checks the delivery status multiple times after entering the valid order ID.
,"Expected Output: User sees updated tracking information each time, including any changes in delivery status or estimated delivery date."
,Order Delivered:
,
,Input: User checks the delivery status after the order has been delivered.
,Expected Output: User sees a confirmation that the order has been delivered along with the delivery date and recipient's signature if available.
,Tracking with Different Devices:
,
,"Input: User accesses the delivery tracking page from different devices (e.g., mobile, desktop) using the same order ID."
,Expected Output: User sees consistent tracking information regardless of the device used.
,Large Order Tracking:
,
,Input: User checks the delivery status for an order with a large number of items.
,"Expected Output: User sees tracking updates for each item in the order, along with consolidated information for the entire shipment."
,
 User Attempts to Track Delivery with an Invalid Order ID,Test Cases for User Attempts to Track Delivery with an Invalid Order ID
,
,Invalid Order ID Entered:
,
,Input: User navigates to the delivery tracking page and enters an invalid order ID.
,"Expected Output: User receives an error message indicating an invalid order ID, and no delivery information is displayed."
,Alpha-Numeric Order ID:
,
,Input: User enters an order ID containing both alphabetic and numeric characters.
,Expected Output: User receives an error message indicating that the order ID format is incorrect and needs correction.
,Order ID with Special Characters:
,
,Input: User enters an order ID containing special characters like punctuation marks.
,Expected Output: User receives an error message indicating that the order ID format is incorrect and special characters are not allowed.
,Order ID Length Limitation:
,
,Input: User enters an order ID that exceeds the maximum allowed length.
,Expected Output: User receives an error message indicating that the order ID is too long and needs to be within the specified character limit.
,Empty Order ID Field:
,
,Input: User attempts to track delivery without entering an order ID.
,Expected Output: User receives an error message indicating that the order ID field cannot be left empty.
,
 User Tracks Delivery using an Order ID from Another User,Test Cases for User Tracks Delivery using an Order ID from Another User
,
,Order ID from Different Account Entered:
,
,Input: User attempts to track delivery using an order ID associated with a different user's account.
,"Expected Output: User receives an error message indicating unauthorized access, and no delivery information is displayed."
,Tracking Another User's Order ID:
,
,Input: User gains access to another user's order ID and attempts to track delivery with it.
,"Expected Output: User receives an error message indicating unauthorized access, and no delivery information is displayed."
,Security Measures for Cross-User Tracking:
,
,Input: User tries to manipulate the order ID to gain access to another user's delivery information.
,"Expected Output: The system detects the unauthorized attempt and blocks access, displaying an error message to the user."
,
User Checks Delivery Status before Payment,Test Cases for User Checks Delivery Status before Payment
,
,Order ID Entered before Payment:
,
,Input: User navigates to the delivery tracking page and enters the order ID before completing the payment process.
,"Expected Output: User receives an error message indicating that the order is not yet shipped, and no delivery information is displayed."
,Partial Payment:
,
,Input: User completes partial payment for the order and then tries to track delivery.
,"Expected Output: User receives an error message indicating that the order is not yet shipped, and no delivery information is displayed until full payment is completed."
,Order ID Entry during Checkout:
,
,Input: User enters the order ID on the checkout page before completing the payment process.
,Expected Output: User is informed that the order is not yet shipped and is prompted to complete the payment before tracking delivery.
,
S,Test Cases for User Receives Notifications for Delivery Updates
,
,Opt-in for Delivery Notifications:
,
,Input: User selects the option to receive delivery notifications during the checkout process.
,Expected Output: User receives notifications via email or SMS whenever there are updates in the delivery status.
,Notification Frequency:
,
,Input: User checks the delivery status and receives notifications for each tracking update.
,"Expected Output: User receives notifications promptly after each tracking update, ensuring real-time information."
,Notification Format:
,
,"Input: User receives a notification and checks its format (e.g., email content, SMS format)."
,"Expected Output: The notification contains clear and concise information about the delivery status, including any changes or updates."
,Opt-out of Delivery Notifications:
,
,Input: User initially opts-in for delivery notifications but later decides to opt-out.
,Expected Output: User successfully opts-out of delivery notifications and no longer receives updates via email or SMS.
,Delivery Confirmation Notification:
,
